provider,run_mode,city,start_time,scrap_time,station_name,device_id,device_type,network,access,kw,status_label,available_connectors,total_connectors,lat,lng,address,data
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:18,,08002270,Type2,NewMotion,Unspecified,,,null,1,52.505029,13.375852,"{'streetAndNumber': 'Gabriele-Tergit-Promenade 19', 'postalCode': '10785', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:19,,DEALLEGO001195,Type2,Allego,Unspecified,,,null,2,52.483038,13.527395,"{'streetAndNumber': 'Rheinsteinstr. 9', 'postalCode': '10318', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:20,,PP00365,Type2,innogy,FreePublic,,,null,2,52.431025,13.456533,"{'streetAndNumber': 'Johannisthaler Chaussee 300', 'postalCode': '12351', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:21,,bf49cfc8-cd36-4b5e-909c-379d0fc97faa,Type2,Digital Energy Solutions,Unspecified,,,null,2,52.509059,13.283391,"{'streetAndNumber': 'Messedamm 1', 'postalCode': '14057', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:22,,DEALLEGO002016,Type2,Allego,Unspecified,,,null,2,52.529979,13.350047,"{'streetAndNumber': 'Birkenstr. 68', 'postalCode': '10559', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:23,,DEVATL000162707,Type2,Vattenfall DE,FreePublic,,,null,2,52.457948,13.526734,"{'streetAndNumber': 'Wilhelminenhofstr. 75 ', 'postalCode': '10365', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:23,,26837,Type2,Pfalzwerke Aktiengesellschaft,PayingPublic,,,null,2,52.398659,13.545953,"{'streetAndNumber': 'Grünbergallee 279', 'city': 'Berlin-Bohnsdorf', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:24,,22705,Type2,E.ON,PayingPublic,,,null,2,52.6385,13.2068,"{'streetAndNumber': 'Kirchstraße 34', 'city': 'Hennigsdorf', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:25,,7276,Type2,Energie- und Wasser Potsdam,FreePublic,,,null,2,52.39433,13.10136,"{'streetAndNumber': 'Plantagenplatz 4', 'postalCode': '14482', 'city': 'Potsdam', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:26,,PP00406,Type2,innogy,FreePublic,,,null,2,52.508403,13.37671,"{'streetAndNumber': 'Gabriele-Tergit-Promenade 1', 'postalCode': '10963', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:27,,900513,Type2Combo,EnBW,FreePublic,,,null,2,52.409034,13.370358,"{'streetAndNumber': 'Nahmitzer Damm 12', 'postalCode': '12277', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:28,,08002249,Type2,NewMotion,Unspecified,,,null,1,52.505036,13.375853,"{'streetAndNumber': 'Gabriele-Tergit-Promenade 19', 'postalCode': '10785', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:29,,DECPIL2864535,Type2,ChargePoint Inc.,Unspecified,,,null,2,52.530207,13.519818,"{'streetAndNumber': 'Rhinstraße 100', 'postalCode': '12681', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:30,,DEALLEGO000031,Type2,Allego,Unspecified,,,null,2,52.511975,13.474964,"{'streetAndNumber': 'Scharnweberstr. 1A', 'postalCode': '10247', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:31,,DEALLEGO000280,Type2,Allego,Unspecified,,,null,1,52.477016,13.328323,"{'streetAndNumber': 'Bundesallee 62', 'postalCode': '14197', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:32,,+49*839*030*000041,Type2,ebee,FreePublic,,,null,1,52.480745,13.354255,"{'streetAndNumber': 'Torgauer Str. 12-15', 'postalCode': '10829', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:33,,PP00646,Type2,innogy,FreePublic,,,null,2,52.515187,13.322895,"{'streetAndNumber': 'Marchstraße 9-1', 'postalCode': '10587', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:34,,DEALLEGO000076,Type2,Allego,Unspecified,,,null,2,52.485471,13.361404,"{'streetAndNumber': 'Leberstr. 6', 'postalCode': '10829', 'city': 'Berlin ', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:35,,DEALLEGO001056,Type2,Allego,Unspecified,,,null,1,52.47361,13.290291,"{'streetAndNumber': 'Warnemünder Str. 7', 'postalCode': '14199', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:48:36,,07500258,Type2,NewMotion,Unspecified,,,null,1,52.359389,13.111673,"{'streetAndNumber': 'Am Buchhorst 34', 'postalCode': '14478', 'city': 'Potsdam', 'country': 'DEU'}",
