provider,run_mode,city,start_time,scrap_time,station_name,device_id,device_type,network,kw,status_label,available_connectors,total_connectors,lat,lng,address,data
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:33:53,,2867769,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.288361,5.384417,"{'streetAndNumber': 'Cours Lieutaud 148', 'postalCode': '13006', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:33:53,,2523093,Domestic,Freshmile Charge,,Restricted,null,5,43.4206,5.35698,"{'streetAndNumber': 'Rue Albert Manoukian ZAC Plan De Campagne', 'postalCode': '13480', 'city': 'Cabriès', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:33:54,,2730377,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,6,43.213528,5.53811,"{'streetAndNumber': 'Esplanade Charles de Gaulle', 'postalCode': '13260', 'city': 'Cassis', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:33:55,,2867771,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.282781,5.431066,"{'streetAndNumber': 'Traverse de la Roue 77', 'postalCode': '13010', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:33:56,,2903603,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.295949,5.39792,"{'streetAndNumber': 'Rue George 82', 'postalCode': '13005', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:33:57,,2901445,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.347677,5.46472,"{'streetAndNumber': 'Rue du 14 Juillet 3', 'postalCode': '13380', 'city': 'Plan-de-Cuques', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:33:58,,2867772,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.33248,5.151676,"{'streetAndNumber': 'Avenue Aristide Briand', 'postalCode': '13620', 'city': 'Carry-le-Rouet', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:33:59,,2867767,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.289353,5.396151,"{'streetAndNumber': 'Boulevard Baille', 'postalCode': '13005', 'city': 'Marseille', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:00,,2730382,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.376505,5.60471,"{'streetAndNumber': 'Avenue Du Mistral', 'postalCode': '13112', 'city': 'La Destrousse', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:01,,2762524,Type2,Electric 55 Charging,,Restricted,null,2,43.384124,5.706148,"{'streetAndNumber': 'Boulevard de la Libération 1', 'postalCode': '83640', 'city': 'Saint-Zacharie', 'country': 'FRA'}",
newmotion,test,Marseille,2020-08-28 01:33:51,2020-08-28 01:34:02,,2730374,Domestic,Aix-Marseille Provence Métropole - FR*M13,,FreePublic,null,2,43.285678,5.484191,"{'streetAndNumber': 'Boulevard de la Barasse', 'postalCode': '13011', 'city': 'Marseille', 'country': 'FRA'}",
