provider,city,id,device_type,name,latitude,longitude,address
newmotion,Paris,2597696,TepcoCHAdeMO,Belib,48.871465,2.289894,"{'streetAndNumber': 'Avenue Victor Hugo 45', 'postalCode': '75016', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2795768,Type2,Virta,48.897174,2.21943,"{'streetAndNumber': '3 Place Marcel Paul', 'city': 'Nanterre', 'country': 'FRA'}"
newmotion,Paris,2885707,Type2,Indigo,48.852062,2.279278,"{'streetAndNumber': 'Avenue du Président Kennedy', 'postalCode': '75016', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2597694,TepcoCHAdeMO,Belib,48.86937,2.303269,"{'streetAndNumber': 'Rue Pierre Charron 58', 'postalCode': '75008', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2563650,Type2,EV-Box,48.831059,2.289413,"{'streetAndNumber': 'Boulevard Lefebvre 36', 'postalCode': '75015', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2867715,Domestic,Réseau SEY ma borne - Communauté Urbaine Grand Paris Seine & Oise,48.97535,2.033277,"{'streetAndNumber': ""Rue d'Andrésy 9"", 'postalCode': '78570', 'city': 'Chanteloup-les-Vignes', 'country': 'FRA'}"
newmotion,Paris,2570722,Domestic,Haute Vallée de Chevreuse,48.705833,1.986804,"{'streetAndNumber': 'Grande Rue  2', 'postalCode': '78720', 'city': 'Dampierre-en-Yvelines', 'country': 'FRA'}"
newmotion,Paris,2570673,Domestic,Freshmile Charge,48.9854,2.18857,"{'streetAndNumber': 'Passage de la Grande Cour 5', 'postalCode': '95370', 'city': 'Montigny-lès-Cormeilles', 'country': 'FRA'}"
newmotion,Paris,2597709,TepcoCHAdeMO,Belib,48.831448,2.320052,"{'streetAndNumber': 'Rue Didot 47', 'postalCode': '75014', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2570691,Domestic,Freshmile Charge,49.0042,2.127,"{'streetAndNumber': 'Mail Jean-Baptiste Poquelin 5', 'postalCode': '95220', 'city': 'Herblay-sur-Seine', 'country': 'FRA'}"
newmotion,Paris,2597729,TepcoCHAdeMO,Belib,48.820007,2.365661,"{'streetAndNumber': 'Boulevard Masséna 107', 'postalCode': '75013', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2750183,Type2,NewMotion,48.881543,2.471002,"{'streetAndNumber': 'DOMUS - Rue de Lisbonne 16', 'postalCode': '93562', 'city': 'Rosny-sous-Bois', 'country': 'FRA'}"
newmotion,Paris,2623861,Domestic,Communauté d’Agglomération Paris,48.842945,2.586017,"{'streetAndNumber': 'Boulevard Copernic 12', 'postalCode': '77420', 'city': 'Champs-sur-Marne', 'country': 'FRA'}"
newmotion,Paris,2597711,TepcoCHAdeMO,Belib,48.847931,2.309952,"{'streetAndNumber': 'Rue Pérignon 2', 'postalCode': '75007', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2597695,TepcoCHAdeMO,Belib,48.826039,2.358146,"{'streetAndNumber': 'Rue de Tolbiac 145', 'postalCode': '75013', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2623866,Domestic,Communauté d’Agglomération Paris,48.838829,2.585834,"{'streetAndNumber': 'Boulevard Copernic 16', 'postalCode': '77420', 'city': 'Champs-sur-Marne', 'country': 'FRA'}"
newmotion,Paris,2887776,Domestic,Communauté d'agglomération Paris-Saclay,48.706142,2.211503,"{'streetAndNumber': 'Place de la Gare de Lozère 3', 'postalCode': '91120', 'city': 'Palaiseau', 'country': 'FRA'}"
